IOC_type,Value,Source_feed,Confidence_Additional_info,Last_modified_date
sha256,be453dcadd408fae5227f8b58f539f3f68aad081c9bf4f2c3dc0ff35c601ef5e,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
sha256,eff2feb50bebb797db7d881a44c549234315a84c861d2bb675899f7165db3ce7,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
sha256,4674f942f3b1841744d81c6bb740879540a6514f57c54ecc443a2ea250a0c459,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
sha256,7a0da7d7bc7e60548bbac036b675c2a8df0869d37bdaf337d16dc93d5bd39da3,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
sha256,37bbddb8e25859349f18c619f863f151660d1ed688c05e0f4a06da942fa154ec,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
sha256,271028308b8a45535b865b0818f39c098e78506a36de57ffee0087c810a65cdb,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
sha256,38207b0af1ad9d0ce047ae8d3b3535921106609c1b4d640a83d1592bb06cf1e2,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
sha256,8915469cb570b038f78d1fcf97d4f132df89e08086a07231cd43da3c443a8016,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
registry_key,HKCU\Microsoft\Windows\CurrentVersion\cjjhutyyaggw,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
registry_key,HKCU\Microsoft\Windows\CurrentVersion\pilodkis,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
url,hxxps://hahahahhasd@j[.]mp/kdwocqwqwqerheurfje,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
url,hxxps://download1507.mediafire[.]com/af0tbthsvewg/od8k8i5brx9cpof/19.doc,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
url,hxxps://8db3b91a-ea93-419b-b51b-0a69902759c5.usrfiles[.]com/ugd/8db3b9_e926d447972f4d23b3c2af4abee9467e.txt?dn=rendomtext,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
url,hxxps://8db3b91a-ea93-419b-b51b-0a69902759c5.usrfiles[.]com/ugd/8db3b9_92ec48660f134f3bb502662383ca4ffb.txt?dn=rendomtext,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
url,hxxps://kukadunikkk@kdaoskdokaodkwldld.blogspot[.]com/p/19.html,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
url,hxxp://www.starinxxxgkular.duckdns[.]org/s1/19.txt,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
url,hxxps://raw.githubusercontent[.]com/swagkarna/Bypass-Tamper-Protection/main/NSudo.exe,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
url,hxxps://www.mediafire[.]com/file/qh5j3uy8qo8cpu7/FINAL+MAIN+vbs+-+Copy.vbs/file,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
url,hxxp://103.147.185[.]68/j/p19xw/mawa/48608c2b91739edc3959.php,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
btc_address,3CghDNiD2J5xsS9i1wzwbvwdTJxokqGCmC,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
eth_address,0x8af86e2c7126d08387e71ec6699bc69f957cdee6,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
xmr_address,83JYuoz9uBv1ny1iioYuK5GQDtyY3M5BL5Hi6NRovkLPMwiWs5QxmAREgsBpBAPDXNDEcJkfLewgLXEGHL8fKpyv7BdKmD8,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
xlm_address,GDX6FFZUVSYTOV23NP2PUUGQIORTWQHUXXPXYOUIOY6CDQXG4NP6OEQ7,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
xrp_address,rGT84ryubURwFMmiJChRbWUg9iQY18VGuQ,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
ltc_address,LZApZozcKmD1JynSvXqSN8m115ZefbnYMK,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
doge_address,DK4Bt1wDYMfqhbqo7jMMqFuEtfFXfvKFTa,Netskope Threat Labs,Malware | AgentTesla,2026-08-05
md5,6d49c55e6231ae7af3b09287df08f440,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
md5,96e6e83b2a8e85153bcf6756403ae3e0,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
md5,228c44b9cc0e8c86c51fddaf3294bcf8,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
md5,370a1f36b649d6a041afca88c6ac0e55,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
md5,9c7994acb861283eab4675bb06ba4159,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
md5,bed7fd2f5fc7183c0a509fc8f9d48ec9,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
md5,192a7c188e6ede340bdb4d518a4ed036,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
md5,2cb586884e131b1c0ba96396ea4e70f6,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
md5,fbf876a3676d0b6959639bc5c603d8e4,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
mutex,AsyncMutex_6SI8OkPnk,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
url,hxxps://buckotx.s3.amazonaws[.]com/x.png,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
domain:port,bashamed[.]org:6666,Netskope Threat Labs,Malware | AsyncRAT,2026-08-05
sha256,97c9caaaf7d3861e30d9ff647e952e880b670c5c3dca4537c515b38438ee18ee,Netskope Threat Labs,Malware | Azorult,2026-08-05
sha256,52a0ca6fec42896245bb3b6a7caa876a44779c98102c5e28781cca46bfaf2ed9,Netskope Threat Labs,Malware | Azorult,2026-08-05
sha256,55e283ee275e0367328013dc835cc63338defdcf5b6fe6cd74d6ce2c46af1981,Netskope Threat Labs,Malware | Azorult,2026-08-05
sha256,350dae93066ddd84327e87f2bb784dfc0b70178629afd1fae298ee1376d42450,Netskope Threat Labs,Malware | Azorult,2026-08-05
sha256,380f9784f4b3db7a711f48baaa2864161ad88b66eec79521011ab8e5871c387a,Netskope Threat Labs,Malware | Azorult,2026-08-05
sha256,030b3d76a054d5a48cbb595d49e7e1cbc6dfdddbccd676f9642640f0429bd8c4,Netskope Threat Labs,Malware | Azorult,2026-08-05
sha256,e644d5ef63786fd6b732e8837bd7ff974b6c76b06ad9629ff6bf4fccef7ee6cb,Netskope Threat Labs,Malware | Azorult,2026-08-05
url,hxxps://sites.google[.]com/view/scan-files-2/google-files?file=chase_statement_feb_09_2024.pdf&fid=13141718,Netskope Threat Labs,Malware | Azorult,2026-08-05
url,hxxps://sites.google[.]com/view/pixel-screencapture/getimages?mutli=screenshot_05_02_2024.zip&hid=47584359868716391,Netskope Threat Labs,Malware | Azorult,2026-08-05
